Date,Weekday,Atorvastatin,Dapagliflozin,Metformin
2025-05-12,Monday - for Tuesday (mg):,540,,27500
2025-05-13,Tuesday - for Wednesday (mg):,520,,27000
2025-05-14,Wednesday - for Thursday (mg):,500,,26500
2025-05-15,Thursday - for Friday (mg):,480,,26000
2025-05-16,Friday - for Saturday (mg):,460,,25500
2025-05-17,Saturday - for Sunday (mg):,440,,25000
2025-05-18,Sunday - for Monday (mg):,420,,24500
2025-05-19,Monday - for Tuesday (mg):,400,,23500
2025-05-20,Tuesday - for Wednesday (mg):,380,,22500
2025-05-21,Wednesday - for Thursday (mg):,360,,21500
2025-05-22,Thursday - for Friday (mg):,340,,20500
2025-05-23,Friday - for Saturday (mg):,320,,19500
2025-05-24,Saturday - for Sunday (mg):,300,,18500
2025-05-25,Sunday - for Monday (mg):,280,,17500
2025-05-26,Monday - for Tuesday (mg):,260,,16000
2025-05-27,Tuesday - for Wednesday (mg):,240,,14500
2025-05-28,Wednesday - for Thursday (mg):,220,,13000
2025-05-29,Thursday - for Friday (mg):,200,,11500
2025-05-30,Friday - for Saturday (mg):,180,,10000
2025-05-31,Saturday - for Sunday (mg):,160,,8500
2025-06-01,Sunday - for Monday (mg):,140,,7000
2025-06-02,Monday - for Tuesday (mg):,120,,5500
2025-06-03,Tuesday - for Wednesday (mg):,100,,4000
2025-06-04,Wednesday - for Thursday (mg):,640,,30500
2025-06-05,Thursday - for Friday (mg):,620,,29000
2025-06-06,Friday - for Saturday (mg):,600,,27500
2025-06-07,Saturday - for Sunday (mg):,580,,26000
2025-06-08,Sunday - for Monday (mg):,560,,24500
2025-06-09,Monday - for Tuesday (mg):,540,,23000
2025-06-10,Tuesday - for Wednesday (mg):,520,,21500
2025-06-11,Wednesday - for Thursday (mg):,500,,20000
2025-06-12,Thursday - for Friday (mg):,480,,18500
2025-06-13,Friday - for Saturday (mg):,460,,17000
2025-06-14,Saturday - for Sunday (mg):,440,,15500
2025-06-15,Sunday - for Monday (mg):,420,,14000
2025-06-16,Monday - for Tuesday (mg):,400,,12500
2025-06-17,Tuesday - for Wednesday (mg):,380,,53000
2025-06-18,Wednesday - for Thursday (mg):,360,,51500
2025-06-19,Thursday - for Friday (mg):,340,,50000
2025-06-20,Friday - for Saturday (mg):,320,,48500
2025-06-21,Saturday - for Sunday (mg):,300,,47000
2025-06-22,Sunday - for Monday (mg):,280,,45500
2025-06-23,Monday - for Tuesday (mg):,260,,44000
2025-06-24,Tuesday - for Wednesday (mg):,240,,42500
2025-06-25,Wednesday - for Thursday (mg):,220,,41000
2025-06-26,Thursday - for Friday (mg):,200,,39500
2025-06-27,Friday - for Saturday (mg):,180,,38000
2025-06-28,Saturday - for Sunday (mg):,160,,36500
2025-06-29,Sunday - for Monday (mg):,140,,35000
2025-06-30,Monday - for Tuesday (mg):,120,,33500
2025-07-01,Tuesday - for Wednesday (mg):,1200,135,87500
2025-07-02,Wednesday - for Thursday (mg):,1160,130,85500
2025-07-03,Thursday - for Friday (mg):,1120,125,83500
2025-07-04,Friday - for Saturday (mg):,1080,120,81500
2025-07-05,Saturday - for Sunday (mg):,1040,115,79500
2025-07-06,Sunday - for Monday (mg):,1000,110,77500
2025-07-07,Monday - for Tuesday (mg):,960,105,75500
2025-07-08,Tuesday - for Wednesday (mg):,920,100,73500
2025-07-09,Wednesday - for Thursday (mg):,880,95,71500
2025-07-10,Thursday - for Friday (mg):,840,90,69500
2025-07-11,Friday - for Saturday (mg):,800,85,67500
2025-07-12,Saturday - for Sunday (mg):,760,80,65500
2025-07-13,Sunday - for Monday (mg):,720,75,63500
2025-07-14,Monday - for Tuesday (mg):,680,70,61500
2025-07-15,Tuesday - for Wednesday (mg):,640,65,59500
2025-07-16,Wednesday - for Thursday (mg):,600,60,57500
2025-07-17,Thursday - for Friday (mg):,560,55,55500
2025-07-18,Friday - for Saturday (mg):,520,50,53500
2025-07-19,Saturday - for Sunday (mg):,480,45,51500
2025-07-20,Sunday - for Monday (mg):,440,40,49500
2025-07-21,Monday - for Tuesday (mg):,400,35,47500
2025-07-22,Tuesday - for Wednesday (mg):,360,30,45500
2025-07-23,Wednesday - for Thursday (mg):,1440,165,43500
